"Gene","GeneSymbol","EntrezID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ILMN_2083469","IRS2",8660,0.251983024485222,0.116485014578947,1.55497078672039,0.125436203958256,0.423861011239085,-5.32022366849704
"ILMN_1706345","TCTN2",79867,-0.231436065035714,0.0998054695964912,-1.55486235775525,0.125462025387296,0.423861011239085,-5.32038446618215
"ILMN_1735004","TMA16",55319,-0.606659151714286,0.0136872543508772,-1.55466166458104,0.12550982996267,0.423909809708728,-5.32068206244382
"ILMN_3308405","MIR802",768219,-0.323758253979064,0.103827599719298,-1.55446693682304,0.125556227514166,0.423977596667819,-5.32097077924582
"ILMN_1659058","PPP1R10",5514,-0.158019225874384,0.0297710428596491,-1.55446076483071,0.125557698331668,0.423977596667819,-5.32097992972472
"ILMN_2217661","SREBF2",6721,0.404656537376847,-0.189554594491228,1.55404194432176,0.125657537605505,0.424105413651965,-5.32160078719231
"ILMN_1700183","APLNR",187,-0.575036442943349,0.595698899561404,-1.5537715374924,0.125722031444111,0.424292766497807,-5.32200155539704
"ILMN_1752744","BPIFA3",128861,-0.282769372892857,0.125021831350877,-1.55338131326634,0.125815149185714,0.424455379370748,-5.32257979137484
"ILMN_3266265","LOXHD1",125336,-0.670621800714286,-0.127016512017544,-1.55330507797103,0.125833347364667,0.424482497029818,-5.32269274160921
"ILMN_1797119","SLC22A10",387775,-0.595240768743843,-0.434441601052632,-1.55327234373968,0.125841162020951,0.424482497029818,-5.32274123909427
"ILMN_1806868","CACNA1C",775,-0.411450627221675,0.338425564789474,-1.55317994263512,0.125863223067368,0.424515279061994,-5.32287813112929
"ILMN_1779616","SUCLG1",8802,0.13372074526601,0.0273735949122807,1.55315634889533,0.12586885664043,0.424515279061994,-5.32291308400565
"ILMN_3247728","RNF115",27246,0.21141294804803,-0.0804473188245614,1.55303104317997,0.125898779773298,0.424585881290441,-5.32309870962317
"ILMN_2276461","MAP2",4133,0.639509933157635,-0.332471435736842,1.5528947611016,0.125931330528451,0.42466533429882,-5.32330057982376
"ILMN_3265147","ZNF606-AS1",100128398,0.47154413964532,-0.292668556789474,1.55277630404014,0.125959629271956,0.424730438362517,-5.323476033201
"ILMN_3198679","PPIL4",85313,-0.409198509448276,0.330219920666667,-1.55249428778676,0.1260270218684,0.424866685929079,-5.32389369381151
"ILMN_1812222","ZNF2",7549,-0.618076937123153,-0.205111137508772,-1.55211436617878,0.126117856183678,0.425051553119115,-5.32445624028262
"ILMN_3235867","ATP2A1",487,0.521513718834975,0.427982670947368,1.5519931101718,0.126146857930927,0.425078034145575,-5.32463575634956
"ILMN_1741346","EPHB3",2049,-0.326570966549261,0.233094358052632,-1.55199718335132,0.126145883630222,0.425078034145575,-5.32462972633215
"ILMN_2285952","PCDH11X",27328,-0.61619478782266,-0.546704267491228,-1.55170031579641,0.126216909826165,0.425166951687616,-5.32506917702111
"ILMN_2342559","SPOCK3",50859,0.528154383123152,0.743227855175439,1.55163773100846,0.126231887448627,0.425166951687616,-5.32516181093913
"ILMN_3305472","MARCHF10",162333,-0.524469760692118,0.678117643789474,-1.5517218486404,0.126211756972487,0.425166951687616,-5.32503730471806
"ILMN_3247159","SCARNA8",677776,-0.431181498926108,0.32563463354386,-1.55124561706187,0.126325759430373,0.425411854245098,-5.32574211435795
"ILMN_2103480","ZNF320",162967,-0.234914952892857,-0.109475035035088,-1.5511784139664,0.126341853433042,0.425411854245098,-5.32584155710344
"ILMN_1723407","SERTAD4BP",646113,-0.510508563544335,0.493632078719298,-1.55103097851809,0.126377167465138,0.4254158880835,-5.32605970858338
"ILMN_1670805","PRR20A",122183,-0.652918811273399,-0.282689869701754,-1.55096014186957,0.126394137205169,0.425436252447074,-5.32616451459771
"ILMN_1794703","KIRREL3-AS3",283165,-0.61179400112069,0.574333827894737,-1.55089191595809,0.12641048323423,0.425460951588107,-5.32626545375516
"ILMN_1721818","CLDN10",9071,0.677996289187192,0.801747434035088,1.55032796222068,0.126545663813084,0.425510784094812,-5.32709965830238
"ILMN_3238486","AMY1A",276,-0.529552183371921,0.618603721508772,-1.5502499912089,0.126564362669375,0.425510784094812,-5.32721497168633
"ILMN_1712916","TENM3-AS1",90768,-0.495470865421182,0.530438082842105,-1.55063046736899,0.126473138509716,0.425510784094812,-5.32665222507312
"ILMN_3307074","HHLA1",10086,0.467503652652709,0.545678869631579,1.55050362859456,0.126503543933358,0.425510784094812,-5.32683984116454
